DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,WetDry,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue,FastGPSLocNumber,FastGPSFailures,BattDiscon,Tilt
181925,181925,0.500000,UT,1.00a,,23:40:05 12-Nov-2019,,B,-25.4868,-48.4255,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,00:55:53 13-Nov-2019,,0,-25.4886,-48.4301,,,,,,,,,25.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,1.00a,,00:57:40 13-Nov-2019,,0,-25.4886,-48.4301,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,00:58:06 13-Nov-2019,,0,-25.4886,-48.4301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,13:20:27 13-Nov-2019,,B,-25.4908,-48.4269,,,,,,3.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,1.00a,,13:21:00 13-Nov-2019,,B,-25.4908,-48.4269,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,21:18:31 13-Nov-2019,,B,-25.4918,-48.4250,,,,,,3.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,21:25:07 13-Nov-2019,,B,-25.4907,-48.4249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,1.00a,,22:55:52 13-Nov-2019,,B,-25.4896,-48.4258,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,1.00a,,23:21:49 13-Nov-2019,,B,-25.4901,-48.4258,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,1.00a,,00:51:48 14-Nov-2019,,A,-25.4906,-48.4250,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,00:52:25 14-Nov-2019,,A,-25.4906,-48.4250,,,,,,,,,229.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,01:39:09 14-Nov-2019,,A,-25.4913,-48.4264,,,,,,3.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,1.00a,,01:40:06 14-Nov-2019,,A,-25.4913,-48.4264,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,01:40:29 14-Nov-2019,,A,-25.4913,-48.4264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,22:39:55 14-Nov-2019,,B,-25.4887,-48.4181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,22:40:44 14-Nov-2019,,A,-25.4863,-48.4240,,,,,,,,,25.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,22:41:24 14-Nov-2019,,1,-25.4898,-48.4360,,,,,21360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,22:42:17 14-Nov-2019,,A,-25.4863,-48.4240,,,,,,3.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,1.00a,,22:42:33 14-Nov-2019,,1,-25.4898,-48.4360,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,00:43:03 15-Nov-2019,,B,-25.4900,-48.4344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,00:44:14 15-Nov-2019,,B,-25.4900,-48.4344,,,,,,,,,25.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,08:22:18 15-Nov-2019,,B,-25.4893,-48.4295,,,,,,,,,24.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,10:58:30 15-Nov-2019,,B,-25.4883,-48.4332,,,,,21504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,11:01:47 15-Nov-2019,,B,-25.4882,-48.4333,,,,,,3.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,11:26:30 15-Nov-2019,,B,-25.4881,-48.4333,,,,,,3.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,22:03:34 15-Nov-2019,,2,-25.4770,-48.4248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,22:04:56 15-Nov-2019,,2,-25.4770,-48.4248,,,,,,3.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,1.00a,,22:05:15 15-Nov-2019,,2,-25.4770,-48.4248,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,22:06:57 15-Nov-2019,,2,-25.4770,-48.4248,,,,,,,,,25.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,1.00a,,23:51:16 15-Nov-2019,,B,-25.4778,-48.4241,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,00:28:30 16-Nov-2019,00:28:29 16-Nov-2019,0,B,-25.4798,-48.4241,CRC,,,,21665,3.375,,,25.25,,,,,,,,,,,,,,96,47,225,,,,,,,,9,,,,81
181925,181925,0.500000,UT,1.00a,,01:07:21 16-Nov-2019,,B,-25.4813,-48.4238,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,13:16:11 16-Nov-2019,,B,-25.4880,-48.4321,,,,,21772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,13:54:52 16-Nov-2019,,B,-25.4906,-48.4325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,21:39:40 16-Nov-2019,,B,-25.4992,-48.4325,,,,,,,,,25.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,23:23:19 16-Nov-2019,,B,-25.4946,-48.4334,,,,,,3.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,23:59:10 16-Nov-2019,,0,-25.4896,-48.4398,,,,,,3.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,23:59:42 16-Nov-2019,,0,-25.4896,-48.4398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,23:59:58 16-Nov-2019,,0,-25.4896,-48.4398,,,,,,,,,25.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,00:00:32 17-Nov-2019,,0,-25.4896,-48.4398,,,,,21934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,00:17:44 17-Nov-2019,,B,-25.4904,-48.4315,,,,,,,,,25.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,00:36:51 17-Nov-2019,00:36:50 17-Nov-2019,0,A,-25.4976,-48.4528,CRC,,,,21940,3.400,,,25.10,,,,,,,,,,,,,,91,47,222,,,,,,,,9,,,,104
181925,181925,0.500000,UT,,,00:37:07 17-Nov-2019,,A,-25.4976,-48.4528,,,,,,3.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
