DeployID,Ptt,DepthSensor,Source,Instr,Count,Start,End,What,Number,Shape,DepthMin,DepthMax,DurationMin,DurationMax,Shallow,Deep
Green,162055,,Transmission,Mk10,1,02:41:10 04-Apr-2017,02:49:20 04-Apr-2017,Dive,1,Square,3.0,3.0,489,491,,
Green,162055,,Transmission,Mk10,1,02:49:20 04-Apr-2017,02:49:30 04-Apr-2017,Surface,,,,,9,11,10,0
Green,162055,,Transmission,Mk10,1,02:49:30 04-Apr-2017,02:58:40 04-Apr-2017,Dive,1,Square,3.0,3.0,549,551,,
Green,162055,,Transmission,Mk10,1,02:58:40 04-Apr-2017,02:59:00 04-Apr-2017,Surface,,,,,19,21,20,0
Green,162055,,Transmission,Mk10,1,02:59:00 04-Apr-2017,04:19:10 04-Apr-2017,Message,10,,,,4800.000000,4820.000000,,
Green,162055,,Transmission,Mk10,1,02:59:00 04-Apr-2017,03:08:00 04-Apr-2017,Dive,1,Square,2.5,2.5,539,541,,
Green,162055,,Transmission,Mk10,1,03:08:00 04-Apr-2017,03:08:20 04-Apr-2017,Surface,,,,,19,21,20,0
Green,162055,,Transmission,Mk10,1,03:08:20 04-Apr-2017,03:31:00 04-Apr-2017,Dive,1,Square,3.0,3.0,1359,1361,,
Green,162055,,Transmission,Mk10,1,03:31:00 04-Apr-2017,03:31:20 04-Apr-2017,Surface,,,,,19,21,20,0
Green,162055,,Transmission,Mk10,1,03:31:20 04-Apr-2017,03:37:10 04-Apr-2017,Dive,1,Square,3.0,3.0,349,351,,
Green,162055,,Transmission,Mk10,1,03:37:10 04-Apr-2017,03:37:30 04-Apr-2017,Surface,,,,,19,21,20,0
Green,162055,,Transmission,Mk10,1,03:37:30 04-Apr-2017,03:44:40 04-Apr-2017,Dive,1,Square,2.5,2.5,429,431,,
Green,162055,,Transmission,Mk10,1,03:44:40 04-Apr-2017,03:44:50 04-Apr-2017,Surface,,,,,9,11,10,0
Green,162055,,Transmission,Mk10,1,03:44:50 04-Apr-2017,04:18:30 04-Apr-2017,Dive,1,Square,3.0,3.0,2019,2021,,
Green,162055,,Transmission,Mk10,1,04:18:30 04-Apr-2017,04:19:10 04-Apr-2017,Surface,,,,,39,41,31,9
Green,162055,,Transmission,Mk10,1,20:07:00 04-Apr-2017,20:32:10 04-Apr-2017,Message,11,,,,1499.000000,1521.000000,,
Green,162055,,Transmission,Mk10,1,20:07:00 04-Apr-2017,20:07:50 04-Apr-2017,Surface,,,,,49,51,21,29
Green,162055,,Transmission,Mk10,1,20:07:50 04-Apr-2017,20:09:40 04-Apr-2017,Dive,1,Square,3.0,3.0,109,111,,
Green,162055,,Transmission,Mk10,1,20:09:40 04-Apr-2017,20:09:50 04-Apr-2017,Surface,,,,,9,11,10,0
Green,162055,,Transmission,Mk10,1,20:09:50 04-Apr-2017,20:12:40 04-Apr-2017,Dive,1,Square,3.0,3.0,169,171,,
Green,162055,,Transmission,Mk10,1,20:12:40 04-Apr-2017,20:14:00 04-Apr-2017,Surface,,,,,79,81,41,39
Green,162055,,Transmission,Mk10,1,20:14:00 04-Apr-2017,20:24:40 04-Apr-2017,Dive,1,Square,3.5,3.5,639,641,,
Green,162055,,Transmission,Mk10,1,20:24:40 04-Apr-2017,20:24:50 04-Apr-2017,Surface,,,,,9,11,10,0
Green,162055,,Transmission,Mk10,1,20:24:50 04-Apr-2017,20:28:00 04-Apr-2017,Dive,1,Square,3.0,3.0,189,191,,
Green,162055,,Transmission,Mk10,1,20:28:00 04-Apr-2017,20:28:10 04-Apr-2017,Surface,,,,,9,11,10,0
Green,162055,,Transmission,Mk10,1,20:28:10 04-Apr-2017,20:32:00 04-Apr-2017,Dive,1,Square,3.0,3.0,229,231,,
Green,162055,,Transmission,Mk10,1,20:32:00 04-Apr-2017,20:32:10 04-Apr-2017,Surface,,,,,9,11,10,0
Green,162055,,Transmission,Mk10,1,09:39:00 05-Apr-2017,10:35:50 05-Apr-2017,Message,10,,,,3400.000000,3420.000000,,
Green,162055,,Transmission,Mk10,1,09:39:00 05-Apr-2017,09:52:30 05-Apr-2017,Dive,1,Square,4.0,4.0,809,811,,
Green,162055,,Transmission,Mk10,1,09:52:30 05-Apr-2017,09:53:10 05-Apr-2017,Surface,,,,,39,41,40,0
Green,162055,,Transmission,Mk10,1,09:53:10 05-Apr-2017,10:05:50 05-Apr-2017,Dive,1,Square,4.0,4.0,759,761,,
Green,162055,,Transmission,Mk10,1,10:05:50 05-Apr-2017,10:06:10 05-Apr-2017,Surface,,,,,19,21,20,0
Green,162055,,Transmission,Mk10,1,10:06:10 05-Apr-2017,10:07:10 05-Apr-2017,Dive,1,U,3.5,3.5,59,61,,
Green,162055,,Transmission,Mk10,1,10:07:10 05-Apr-2017,10:07:20 05-Apr-2017,Surface,,,,,9,11,10,0
Green,162055,,Transmission,Mk10,1,10:07:20 05-Apr-2017,10:21:20 05-Apr-2017,Dive,1,Square,4.0,4.0,839,841,,
Green,162055,,Transmission,Mk10,1,10:21:20 05-Apr-2017,10:22:10 05-Apr-2017,Surface,,,,,49,51,40,10
Green,162055,,Transmission,Mk10,1,10:22:10 05-Apr-2017,10:35:10 05-Apr-2017,Dive,1,Square,4.0,4.0,779,781,,
Green,162055,,Transmission,Mk10,1,10:35:10 05-Apr-2017,10:35:50 05-Apr-2017,Surface,,,,,39,41,31,9
Green,162055,,Transmission,Mk10,1,03:54:00 06-Apr-2017,04:50:30 06-Apr-2017,Message,10,,,,3380.000000,3400.000000,,
Green,162055,,Transmission,Mk10,1,03:54:00 06-Apr-2017,04:02:10 06-Apr-2017,Dive,1,Square,3.0,3.0,489,491,,
Green,162055,,Transmission,Mk10,1,04:02:10 06-Apr-2017,04:02:30 06-Apr-2017,Surface,,,,,19,21,20,0
Green,162055,,Transmission,Mk10,1,04:02:30 06-Apr-2017,04:11:50 06-Apr-2017,Dive,1,Square,3.0,3.0,559,561,,
Green,162055,,Transmission,Mk10,1,04:11:50 06-Apr-2017,04:12:30 06-Apr-2017,Surface,,,,,39,41,40,0
Green,162055,,Transmission,Mk10,1,04:12:30 06-Apr-2017,04:21:20 06-Apr-2017,Dive,1,Square,3.0,3.0,529,531,,
Green,162055,,Transmission,Mk10,1,04:21:20 06-Apr-2017,04:22:10 06-Apr-2017,Surface,,,,,49,51,21,29
Green,162055,,Transmission,Mk10,1,04:22:10 06-Apr-2017,04:31:30 06-Apr-2017,Dive,1,Square,3.5,3.5,559,561,,
Green,162055,,Transmission,Mk10,1,04:31:30 06-Apr-2017,04:31:40 06-Apr-2017,Surface,,,,,9,11,10,0
Green,162055,,Transmission,Mk10,1,04:31:40 06-Apr-2017,04:50:10 06-Apr-2017,Dive,1,Square,3.0,3.0,1109,1111,,
Green,162055,,Transmission,Mk10,1,04:50:10 06-Apr-2017,04:50:30 06-Apr-2017,Surface,,,,,19,21,20,0
Green,162055,,Transmission,Mk10,1,04:50:00 06-Apr-2017,05:52:00 06-Apr-2017,Message,10,,,,3710.000000,3730.000000,,
Green,162055,,Transmission,Mk10,1,04:50:00 06-Apr-2017,04:59:50 06-Apr-2017,Dive,1,Square,3.5,3.5,589,591,,
Green,162055,,Transmission,Mk10,1,04:59:50 06-Apr-2017,05:00:10 06-Apr-2017,Surface,,,,,19,21,20,0
Green,162055,,Transmission,Mk10,1,05:00:10 06-Apr-2017,05:20:20 06-Apr-2017,Dive,1,Square,3.0,3.0,1209,1211,,
Green,162055,,Transmission,Mk10,1,05:20:20 06-Apr-2017,05:21:00 06-Apr-2017,Surface,,,,,39,41,31,9
Green,162055,,Transmission,Mk10,1,05:21:00 06-Apr-2017,05:30:40 06-Apr-2017,Dive,1,Square,3.5,3.5,579,581,,
Green,162055,,Transmission,Mk10,1,05:30:40 06-Apr-2017,05:31:00 06-Apr-2017,Surface,,,,,19,21,20,0
Green,162055,,Transmission,Mk10,1,05:31:00 06-Apr-2017,05:41:20 06-Apr-2017,Dive,1,Square,3.0,3.0,619,621,,
Green,162055,,Transmission,Mk10,1,05:41:20 06-Apr-2017,05:42:00 06-Apr-2017,Surface,,,,,39,41,31,9
Green,162055,,Transmission,Mk10,1,05:42:00 06-Apr-2017,05:51:40 06-Apr-2017,Dive,1,Square,3.0,3.0,579,581,,
Green,162055,,Transmission,Mk10,1,05:51:40 06-Apr-2017,05:52:00 06-Apr-2017,Surface,,,,,19,21,20,0
Green,162055,,Transmission,Mk10,1,20:48:00 06-Apr-2017,00:03:40 07-Apr-2017,Message,10,,,,11730.000000,11750.000000,,
Green,162055,,Transmission,Mk10,1,20:48:00 06-Apr-2017,22:10:10 06-Apr-2017,Dive,1,Square,3.0,3.0,4929,4931,,
Green,162055,,Transmission,Mk10,1,22:10:10 06-Apr-2017,22:10:20 06-Apr-2017,Surface,,,,,9,11,10,0
Green,162055,,Transmission,Mk10,1,22:10:20 06-Apr-2017,22:43:10 06-Apr-2017,Dive,1,Square,3.0,3.0,1969,1971,,
Green,162055,,Transmission,Mk10,1,22:43:10 06-Apr-2017,22:43:20 06-Apr-2017,Surface,,,,,9,11,10,0
Green,162055,,Transmission,Mk10,1,22:43:20 06-Apr-2017,23:00:20 06-Apr-2017,Dive,1,Square,3.0,3.0,1019,1021,,
Green,162055,,Transmission,Mk10,1,23:00:20 06-Apr-2017,23:00:30 06-Apr-2017,Surface,,,,,9,11,10,0
Green,162055,,Transmission,Mk10,1,23:00:30 06-Apr-2017,23:56:50 06-Apr-2017,Dive,1,Square,3.5,3.5,3379,3381,,
Green,162055,,Transmission,Mk10,1,23:56:50 06-Apr-2017,23:57:00 06-Apr-2017,Surface,,,,,9,11,10,0
Green,162055,,Transmission,Mk10,1,23:57:00 06-Apr-2017,00:03:20 07-Apr-2017,Dive,1,Square,3.5,3.5,379,381,,
